episode,env_index,steps,mean_dist_m,median_dist_m,p90_dist_m,final_dist_m,close_rate_steps,termination
1,0,200,0.10568784302409742,0.098632947838113758,0.16313589205102111,0.173290229377005,0.095000000000000001,time_limit
2,1,200,0.099441609113320159,0.092419479702016055,0.14844334179811688,0.19057001993997758,0.080000000000000002,time_limit
3,2,200,0.15990449138034751,0.17120801866512964,0.23513920567184324,0.19574901690019217,0.035000000000000003,time_limit
4,3,200,0.1005382804454651,0.11210650375281589,0.14124391069528541,0.16145839143169785,0.16500000000000001,time_limit
5,4,200,0.13063501806191172,0.14458878681291873,0.17786534901822776,0.14404037036638331,0.065000000000000002,time_limit
6,5,200,0.097915512932328072,0.093475570412609718,0.17012484745824497,0.16910795297493356,0.17000000000000001,time_limit
7,6,200,0.1806735110639564,0.18803323675658307,0.28608585655298663,0.319228894831251,0.055,time_limit
8,7,200,0.092271818671931211,0.098151590251245743,0.13300366230374441,0.11411192378425754,0.13500000000000001,time_limit
9,8,200,0.090098677211160411,0.094633238715135487,0.11434731447142311,0.098943717634993156,0.050000000000000003,time_limit
10,9,200,0.13983866645292065,0.16367406761845407,0.22457146841584327,0.26471657657015363,0.17499999999999999,time_limit
11,10,200,0.072917929143297519,0.073568520924421288,0.10795295114324352,0.10475130320008676,0.215,time_limit
12,11,200,0.11033848785220572,0.10979267959071443,0.17206413370937176,0.17323956176237171,0.065000000000000002,time_limit
13,12,200,0.11076602530401627,0.12642783297670118,0.16500630658965548,0.18176041178044455,0.095000000000000001,time_limit
14,13,200,0.16169805859479658,0.16323873216017654,0.27696020814832123,0.29562392580835695,0.044999999999999998,time_limit
15,14,200,0.096529361212156856,0.093180891473432365,0.14110857139418859,0.14321317409046158,0.044999999999999998,time_limit
16,15,200,0.11719971602095493,0.10668721620438407,0.17745379131443917,0.20056935659572428,0.059999999999999998,time_limit
17,16,200,0.09760403884004773,0.10665889396654644,0.15233785476695089,0.1250620716947822,0.20999999999999999,time_limit
18,17,200,0.12804958657414595,0.12613388794838493,0.17053343023413983,0.17896363720041275,0.01,time_limit
19,18,200,0.15271467477658018,0.14694421617256864,0.20300499555160242,0.19347525534440324,0.01,time_limit
20,19,200,0.1288893888311122,0.14132218889564874,0.19237070905647077,0.19427010290342625,0.095000000000000001,time_limit
