episode,env_index,steps,mean_dist_m,median_dist_m,p90_dist_m,final_dist_m,close_rate_steps,termination
1,0,200,0.094364243573013734,0.089492935475409152,0.14638285040521795,0.072196797795266984,0.080000000000000002,time_limit
2,1,200,0.094471776526897061,0.077383415408409817,0.17667934733171189,0.20260490560709699,0.20499999999999999,time_limit
3,2,200,0.1034318314213758,0.10633220364937288,0.1281459080067566,0.12946076082435509,0.025000000000000001,time_limit
4,3,200,0.1012985016042586,0.10312564405336892,0.14953265719150557,0.15229914029271585,0.070000000000000007,time_limit
5,4,200,0.12599005389787554,0.13391494048925556,0.17755298107524753,0.20619625203438127,0.035000000000000003,time_limit
6,5,200,0.11013433718377449,0.11852382337997043,0.16864410633383325,0.16422623235508824,0.11,time_limit
7,6,200,0.093593864033697932,0.092141222582223098,0.14076670688781368,0.16656402413089363,0.125,time_limit
8,7,200,0.10824943907438993,0.11905738532443041,0.15400037969129213,0.16001696976729946,0.14999999999999999,time_limit
9,8,200,0.15133508039572272,0.14852648331223162,0.22512447860011411,0.25020496234951717,0.02,time_limit
10,9,200,0.091659851679856269,0.084045183499935144,0.15478871899873453,0.16798454719787692,0.26500000000000001,time_limit
11,10,200,0.084381679866358944,0.088126686775222146,0.11590973468172892,0.10660926035349357,0.105,time_limit
12,11,200,0.1099224822633242,0.10783001225261828,0.16018186347877611,0.17921482084012968,0.044999999999999998,time_limit
13,12,200,0.12520041777687818,0.13511416019641304,0.18577226874109992,0.21048249302596089,0.10000000000000001,time_limit
14,13,200,0.089265646585369396,0.091653523496305844,0.14324112591956564,0.14960887312523577,0.19,time_limit
15,14,200,0.087721728339649765,0.082423110949989956,0.14366557896873178,0.12139957455732245,0.089999999999999997,time_limit
16,15,200,0.1149958414480345,0.12324278206789945,0.14863727292706977,0.083136101931676212,0.089999999999999997,time_limit
17,16,200,0.10220115579885322,0.10557136189464292,0.14064727379731654,0.13595111207173763,0.095000000000000001,time_limit
18,17,200,0.11900999614716365,0.11431818158435107,0.1666300458428504,0.16572512142038853,0.01,time_limit
19,18,200,0.1221235760281898,0.11964235457794663,0.17126481987952996,0.19057696517312922,0.01,time_limit
20,19,200,0.076210777671953472,0.077031086305130309,0.10936228075878437,0.13789449092605363,0.20999999999999999,time_limit
